gmap_id,name,address,description,latitude,longitude,category,avg_rating,num_of_reviews,price,hours,MISC,state,relative_results,url
7781914573,Loon Chuan,Page Avenue 85,Sin descripción,40.5221745,-74.2346235,['restaurant'],,,,Mo-Sa 12:00-21:00; Su 13:00-21:00,"{'cuisine': 'chinese', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://loonchuansi.com/'}",NY,,https://loonchuansi.com/
7781914576,Palermo Pizzeria & Restaurant,Page Avenue 95,Sin descripción,40.5218659,-74.2346537,['restaurant'],,,,"Mo-Th,Su 11:00-22:00; Fr-Sa 11:00-23:00","{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://palermopizzasi.com/'}",NY,,https://palermopizzasi.com/
7781943888,Serena Bistro,Page Avenue 96,Sin descripción,40.5219561,-74.2354937,['restaurant'],,,,,"{'cuisine': 'american', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://www.serenanyc.com/'}",NY,,https://www.serenanyc.com/
7781943892,Zio Totó,Desconocida,Sin descripción,40.5222401,-74.2354654,['restaurant'],,,,,"{'cuisine': 'italian', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
7777154693,Nonna's Pizzeria,Desconocida,Sin descripción,40.516773,-74.2331223,['restaurant'],,,,,"{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
7811227317,Dolce Fantasia,Veterans Road West 2935,Sin descripción,40.5269243,-74.2314671,['restaurant'],,,,,"{'cuisine': 'italian', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://www.dolcefantasia.us/'}",NY,,https://www.dolcefantasia.us/
7811227322,Luce,Desconocida,Sin descripción,40.5272504,-74.2319172,['restaurant'],,,,,"{'cuisine': 'italian', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
7811227341,Z-Two,Veterans Road West 2925,Sin descripción,40.5273659,-74.2307924,['restaurant'],,,,,"{'cuisine': None, 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
9525943490,Vitalia,Desconocida,Sin descripción,40.5269764,-74.2315136,['restaurant'],,,,,"{'cuisine': 'italian', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
7821236141,Millie's of Staten Island,Bricktown Way 185,Sin descripción,40.5308324,-74.2309451,['restaurant'],,,,"Mo-Th 11:30-21:00; Fr,Sa 11:30-22:00; Su 12:00-21:00","{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://www.milliesoldworld.com/location/millies-staten-island/'}",NY,,https://www.milliesoldworld.com/location/millies-staten-island/
7811227341,Z-Two,Veterans Road West 2925,Sin descripción,40.5273659,-74.2307924,['restaurant'],,,,,"{'cuisine': None, 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
7821236138,Applebee's,Veterans Road West 2722,Sin descripción,40.5300818,-74.2291373,['restaurant'],,,,"Su-Th 09:00-23:00; Fr,Sa 09:00-24:00","{'cuisine': 'american', 'wheelchair': 'yes', 'takeaway': None, 'delivery': None, 'website': 'https://restaurants.applebees.com/en-us/ny/staten-island/2720-veterans-road-west-75015'}",NY,,https://restaurants.applebees.com/en-us/ny/staten-island/2720-veterans-road-west-75015
7821236141,Millie's of Staten Island,Bricktown Way 185,Sin descripción,40.5308324,-74.2309451,['restaurant'],,,,"Mo-Th 11:30-21:00; Fr,Sa 11:30-22:00; Su 12:00-21:00","{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://www.milliesoldworld.com/location/millies-staten-island/'}",NY,,https://www.milliesoldworld.com/location/millies-staten-island/
5526642147,Rossville Pizza,Bloomingdale Road 960,Sin descripción,40.549344,-74.2211195,['restaurant'],,,,,"{'cuisine': None, 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
7799768741,Il Forno Pizzeria,Desconocida,Sin descripción,40.5221645,-74.2166231,['restaurant'],,,,,"{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
7799768757,Amici Pizza,Desconocida,Sin descripción,40.5235918,-74.2160676,['restaurant'],,,,,"{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://www.adjustor.com/'}",,,https://www.adjustor.com/
10699989882,Happy Fortune Chinese Restaurant,Rossville Avenue 1022,Sin descripción,40.5516727,-74.2123748,['restaurant'],,,,,"{'cuisine': 'chinese', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
10699989884,Pino's Pizzeria & Restaurant,Rossville Avenue 1026,Sin descripción,40.5517229,-74.2121269,['restaurant'],,,,,"{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
